,"u","t","&pi;_W","p","q","V_T"
"96",760000,336,.3e-1,.4e-1,.50,1567026.152
"97",810000,336,.3e-1,.4e-1,.50,1619913.529
"98",860000,336,.3e-1,.4e-1,.50,1672095.317
"99",910000,336,.3e-1,.4e-1,.50,1723743.942
"100",960000,336,.3e-1,.4e-1,.50,1774989.692
"101",10000,336,.3e-1,.4e-1,.75,211780.407
"102",60000,336,.3e-1,.4e-1,.75,1305569.297
"103",110000,336,.3e-1,.4e-1,.75,1895359.404
"104",160000,336,.3e-1,.4e-1,.75,2224288.920
"105",210000,336,.3e-1,.4e-1,.75,2418422.120
"106",260000,336,.3e-1,.4e-1,.75,2542901.075
"107",310000,336,.3e-1,.4e-1,.75,2631387.107
"108",360000,336,.3e-1,.4e-1,.75,2701274.263
"109",410000,336,.3e-1,.4e-1,.75,2761550.692
"110",460000,336,.3e-1,.4e-1,.75,2816860.904
"111",510000,336,.3e-1,.4e-1,.75,2869604.886
"112",560000,336,.3e-1,.4e-1,.75,2921022.803
"113",610000,336,.3e-1,.4e-1,.75,2971755.494
"114",660000,336,.3e-1,.4e-1,.75,3022134.102
"115",710000,336,.3e-1,.4e-1,.75,3072329.743
"116",760000,336,.3e-1,.4e-1,.75,3122430.838
"117",810000,336,.3e-1,.4e-1,.75,3172483.077
"118",860000,336,.3e-1,.4e-1,.75,3222510.071
"119",910000,336,.3e-1,.4e-1,.75,3272524.020
"120",960000,336,.3e-1,.4e-1,.75,3322531.228
"121",10000,336,.4e-1,.4e-1,.25,288.998
"122",60000,336,.4e-1,.4e-1,.25,3217.086
"123",110000,336,.4e-1,.4e-1,.25,7365.047
"124",160000,336,.4e-1,.4e-1,.25,12697.774
"125",210000,336,.4e-1,.4e-1,.25,19184.653
"126",260000,336,.4e-1,.4e-1,.25,26795.864
"127",310000,336,.4e-1,.4e-1,.25,35502.353
"128",360000,336,.4e-1,.4e-1,.25,45275.821
"129",410000,336,.4e-1,.4e-1,.25,56088.698
"130",460000,336,.4e-1,.4e-1,.25,67914.127
"131",510000,336,.4e-1,.4e-1,.25,80725.945
"132",560000,336,.4e-1,.4e-1,.25,94498.663
"133",610000,336,.4e-1,.4e-1,.25,109207.455
"134",660000,336,.4e-1,.4e-1,.25,124828.132
"135",710000,336,.4e-1,.4e-1,.25,141337.132
"136",760000,336,.4e-1,.4e-1,.25,158711.503
"137",810000,336,.4e-1,.4e-1,.25,176928.884
"138",860000,336,.4e-1,.4e-1,.25,195967.492
"139",910000,336,.4e-1,.4e-1,.25,215806.109
"140",960000,336,.4e-1,.4e-1,.25,236424.062
"141",10000,336,.4e-1,.4e-1,.50,3334.2854
"142",60000,336,.4e-1,.4e-1,.50,31399.6877
"143",110000,336,.4e-1,.4e-1,.50,61227.8510
"144",160000,336,.4e-1,.4e-1,.50,92626.9388
"145",210000,336,.4e-1,.4e-1,.50,125474.6120
"146",260000,336,.4e-1,.4e-1,.50,159658.0590
"147",310000,336,.4e-1,.4e-1,.50,195073.2536
"148",360000,336,.4e-1,.4e-1,.50,231624.2708
"149",410000,336,.4e-1,.4e-1,.50,269222.6559
"150",460000,336,.4e-1,.4e-1,.50,307786.8431
"151",510000,336,.4e-1,.4e-1,.50,347241.6185
"152",560000,336,.4e-1,.4e-1,.50,387517.6255
"153",610000,336,.4e-1,.4e-1,.50,428550.9091
"154",660000,336,.4e-1,.4e-1,.50,470282.4948
"155",710000,336,.4e-1,.4e-1,.50,512658.0006
