,"u","t","p","V_T"
"178",860000,336,.25,16448477.79
"179",910000,336,.25,16499356.89
"180",960000,336,.25,16549876.43
"181",10000,24,.4,55671.598
"182",60000,24,.4,952597.904
"183",110000,24,.4,1637587.735
"184",160000,24,.4,2018026.462
"185",210000,24,.4,2235822.836
"186",260000,24,.4,2370984.458
"187",310000,24,.4,2464210.379
"188",360000,24,.4,2536151.026
"189",410000,24,.4,2597287.682
"190",460000,24,.4,2652940.438
"191",510000,24,.4,2705809.669
"192",560000,24,.4,2757266.037
"193",610000,24,.4,2808005.261
"194",660000,24,.4,2858380.477
"195",710000,24,.4,2908570.930
"196",760000,24,.4,2958667.600
"197",810000,24,.4,3008716.668
"198",860000,24,.4,3058741.574
"199",910000,24,.4,3108754.216
"200",960000,24,.4,3158760.633
"201",10000,168,.4,361758.19
"202",60000,168,.4,6229676.853
"203",110000,168,.4,10708098.60
"204",160000,168,.4,13128740.19
"205",210000,168,.4,14418353.66
"206",260000,168,.4,15116225.75
"207",310000,168,.4,15504858.49
"208",360000,168,.4,15731858.41
"209",410000,168,.4,15874374.53
"210",460000,168,.4,15972731.80
"211",510000,168,.4,16048007.67
"212",560000,168,.4,16111219.12
"213",610000,168,.4,16168124.61
"214",660000,168,.4,16221734.05
"215",710000,168,.4,16273620.66
"216",760000,168,.4,16324606.78
"217",810000,168,.4,16375122.21
"218",860000,168,.4,16425391.62
"219",910000,168,.4,16475532.44
"220",960000,168,.4,16525606.05
"221",10000,336,.4,718805.63
"222",60000,336,.4,12384907.87
"223",110000,336,.4,21288035.75
"224",160000,336,.4,26088815.44
"225",210000,336,.4,28629245.39
"226",260000,336,.4,29984116.10
"227",310000,336,.4,30717865.73
"228",360000,336,.4,31126152.83
"229",410000,336,.4,31363896.57
"230",460000,336,.4,31512274.96
"231",510000,336,.4,31613825.59
"232",560000,336,.4,31690838.30
"233",610000,336,.4,31754993.06
"234",660000,336,.4,31812410.21
"235",710000,336,.4,31866296.82
"236",760000,336,.4,31918333.42
"237",810000,336,.4,31969400.60
"238",860000,336,.4,32019959.81
"239",910000,336,.4,32070252.84
"240",960000,336,.4,32120406.39
